Customers,Amount,Month,Year
2248.49,5732.09,12,2021
1923.95,5554.63,11,2021
1491.34,4746.79,10,2021
1520.92,3759.12,9,2021
1396.65,2941.88,8,2021
1534.21,2342.76,7,2021
1323.26,2821.94,6,2021
429.12,429.12,5,2021
363.66,11172.43,4,2021
381.74,381.74,3,2021
348.7,348.7,2,2021
355.77,355.77,1,2021
2047.45,"4,729.77",1,2022
"1,199.46","2,210.17",2,2022
"1,934.41","4,492.25",3,2022
454.64,460.9,4,2022
486.55,486.62,5,2022
506.14,506.2,6,2022
555.09,555.26,7,2022
7.43,7.43,12,2021
6.28,6.28,11,2021
6.35,6.35,10,2021
5.34,5.34,9,2021
4.44,4.44,8,2021
2.03,2.03,7,2021
4.43,4.43,5,2021
5.21,5.21,4,2021
13.51,13.51,3,2021
12.23,12.23,2,2021
21.14,21.14,1,2021
7.36,7.36,1,2022
6.28,6.28,2,2022
6.15,6.15,3,2022
6.25,6.25,5,2022
6.79,6.79,6,2022
6.95,6.95,7,2022
6641.62,6641.62,12,2021
6041.96,6041.96,11,2021
6286.6,6286.6,10,2021
5267.79,5267.79,9,2021
5297.16,5297.16,8,2021
5223.57,5223.57,7,2021
4814.74,4814.74,6,2021
4782.59,4782.59,5,2021
4272.47,4272.47,4,2021
4457.47,4457.47,3,2021
3831.99,3831.99,2,2021
4044.38,4044.38,1,2021
"6,729.66","6,729.66",1,2022
"6,044.47","6,044.47",2,2022
"6,894.78","6,894.78",3,2022
"6,699.57","6,699.57",4,2022
"6,954.18","6,954.18",5,2022
"6,541.84","6,541.84",6,2022
"6,751.80","6,751.80",7,2022
13.32,13.32,1,2021
76.22,76.22,12,2021
67.04,67.04,11,2021
62.15,62.15,10,2021
46.49,46.49,9,2021
38.53,38.53,8,2021
33.12,33.12,7,2021
25.43,25.43,6,2021
20.29,20.29,5,2021
20.23,20.23,4,2021
21.33,21.33,3,2021
15.48,15.48,2,2021
12.28,12.28,1,2021
81.15,81.15,1,2022
89.36,89.36,2,2022
104.48,104.48,3,2022
109.89,109.89,4,2022
107.22,107.22,5,2022
